learning rate;# of epochs;momentum;Root mean squared error;hidden layers;Correctly Classified Instances;Mean absolute error;Root relative squared error;Relative absolute error;filename
0.1;500.0;0.8;0.2931;a;75.1448;0.1044;78.8539;37.7696;reports/run_1/Feb 17, 2016 7:10:11 PM35c51d20-0031-4c3e-9f8e-464a7615ab5b
0.8;3000.0;0.2;0.3023;a,t;75.1448;0.1023;81.318;37.0087;reports/run_1/Feb 18, 2016 1:48:32 PMaebcd4a3-b10a-429d-b7dc-55cdfe8943bb
0.5;500.0;0.5;0.2957;t;75.1448;0.1039;79.5356;37.5863;reports/run_1/Feb 17, 2016 9:40:44 PMbcede911-211f-43cb-9eab-d763a750fa69
0.2;2000.0;0.8;0.298;a,a;75.1448;0.1008;80.159;36.4708;reports/run_1/Feb 18, 2016 3:12:42 AMeb0aeee0-acd8-4f5a-b8fa-d53685ddf80e
0.2;500.0;0.2;0.2966;t,a;75.1448;0.1007;79.7932;36.4277;reports/run_1/Feb 18, 2016 4:32:20 AM20b10b18-c9ab-45f1-8ea5-a7485bb38e56
0.1;2000.0;0.5;0.2886;t;75.1448;0.103;77.6247;37.2451;reports/run_1/Feb 17, 2016 9:11:04 PM8afdae46-1ee6-4b49-98c1-8217dcc590c8
0.5;2000.0;0.2;0.3008;t,a;75.1448;0.102;80.9289;36.898;reports/run_1/Feb 18, 2016 5:20:12 AM91523253-703a-45d3-ab9d-66368ce7cd18
0.1;2000.0;0.8;0.2931;t;75.1975;0.1021;78.839;36.9129;reports/run_1/Feb 17, 2016 10:44:16 PMbf568f85-6e44-474c-8a03-ee698f1a05fa
0.8;3000.0;0.2;0.2946;t;75.1975;0.1008;79.2511;36.4531;reports/run_1/Feb 17, 2016 8:50:09 PM23d5640b-8556-418e-b999-5094ae81cb61
0.5;500.0;0.5;0.2937;a,t;75.1975;0.1055;79.0058;38.1503;reports/run_1/Feb 18, 2016 3:13:16 PM9ad7471c-d19a-46ae-84e2-ffda6f671fb9
0.8;2000.0;0.2;0.3001;t,t;75.1975;0.1009;80.7429;36.4812;reports/run_1/Feb 18, 2016 8:59:54 PMd537ffe3-ac7d-4e68-ad26-3cc9265bd4f8
0.2;3000.0;0.2;0.3009;t,a;75.2501;0.101;80.9367;36.5339;reports/run_1/Feb 18, 2016 4:56:28 AMa841a4ff-9e5d-4f53-b3f3-62d6fefd3cc8
0.2;2000.0;0.5;0.2993;t,t;75.2501;0.1018;80.514;36.8312;reports/run_1/Feb 18, 2016 11:03:37 PM6ccd47ff-ca9a-495e-8ff3-05b16ff625a3
0.1;2000.0;0.2;0.2997;t,a;75.2501;0.1005;80.6348;36.3406;reports/run_1/Feb 18, 2016 4:21:52 AMb2cf6c44-c4c0-421b-a6fe-28ca3b7170db
0.1;2000.0;0.5;0.3047;a,a;75.2501;0.1021;81.9749;36.9273;reports/run_1/Feb 18, 2016 1:34:16 AM7d70e5a4-af27-47c3-ac69-de8547e33f11
0.2;500.0;0.2;0.2996;a,t;75.2501;0.102;80.5994;36.8821;reports/run_1/Feb 18, 2016 12:17:12 PM23570b77-4d40-4949-a4a9-6de09f612adf
0.5;3000.0;0.5;0.2982;t,a;75.2501;0.1021;80.2227;36.938;reports/run_1/Feb 18, 2016 8:11:56 AM1a061104-77dc-4402-b517-e3b73c884b18
0.5;2000.0;0.2;0.2993;a,t;75.2501;0.1009;80.5097;36.4881;reports/run_1/Feb 18, 2016 1:17:38 PMc6ef5b1d-76f8-4565-bc65-2d8dfb971f92
0.2;3000.0;0.2;0.3004;a,a;75.2501;0.1005;80.8005;36.3667;reports/run_1/Feb 18, 2016 12:34:44 AMcd65f80c-0c44-4cae-b49a-f376bde8e0e2
0.2;3000.0;0.5;0.2999;a,t;75.3028;0.1004;80.6753;36.2984;reports/run_1/Feb 18, 2016 2:52:49 PM1d19527b-16b1-48dd-86fb-717ce758212d
0.1;500.0;0.5;0.2868;t;75.3555;0.1044;77.156;37.7577;reports/run_1/Feb 17, 2016 9:04:31 PM096189e1-1fe7-4bac-b0b6-1189ebd99a9c
0.8;1000.0;0.2;0.2967;t;75.3555;0.1017;79.8069;36.7659;reports/run_1/Feb 17, 2016 8:46:17 PM88c00958-d717-46a9-87f4-032b56c6ce5a
0.5;500.0;0.5;0.2923;t,a;75.3555;0.1033;78.6463;37.3627;reports/run_1/Feb 18, 2016 7:46:09 AMbc4d2837-4494-4910-b117-489938501c56
0.2;500.0;0.8;0.2918;t;75.3555;0.102;78.5029;36.8921;reports/run_1/Feb 17, 2016 10:50:11 PM75c438a2-63bc-4625-adb1-ae939d122fbd
0.8;3000.0;0.2;0.2951;t,t;75.4081;0.0992;79.3849;35.8868;reports/run_1/Feb 18, 2016 9:09:51 PM70c0d9aa-9473-48d7-9833-0bc8a22c3e71
0.1;500.0;0.5;0.2875;a;75.4081;0.1035;77.3326;37.4452;reports/run_1/Feb 17, 2016 6:28:14 PM1f9fc225-f1fb-491a-887a-1aa9b1c92818
0.5;500.0;0.5;0.292;a,a;75.4081;0.1048;78.5632;37.9212;reports/run_1/Feb 18, 2016 2:03:28 AM6c677574-46eb-461e-841b-afd5e5330d2f
0.1;1000.0;0.2;0.2861;a;75.4608;0.1031;76.9649;37.2844;reports/run_1/Feb 17, 2016 6:03:03 PM0e5ca3ee-fe0c-42e8-ab49-bdf0eb4a0973
0.8;500.0;0.5;0.2901;a;75.4608;0.1016;78.0378;36.7477;reports/run_1/Feb 17, 2016 7:01:37 PM881fa9ae-51da-4ac1-a7e8-f2a27b5a085d
0.5;3000.0;0.2;0.3009;a;75.4608;0.1024;80.9413;37.0318;reports/run_1/Feb 17, 2016 6:15:17 PM3a3c2ede-b144-41fa-846a-64b3b90ccc33
0.5;1000.0;0.5;0.2953;t;75.5134;0.1029;79.4286;37.2079;reports/run_1/Feb 17, 2016 9:52:36 PMf0ae549f-0db7-43a6-b5e4-481892ff8435
0.8;3000.0;0.2;0.2997;t,a;75.5134;0.0995;80.6199;36.0036;reports/run_1/Feb 18, 2016 6:10:14 AMdb9cc357-2a99-428c-9466-24608214af04
0.1;3000.0;0.2;0.2886;a;75.5134;0.1016;77.6482;36.7552;reports/run_1/Feb 17, 2016 6:03:03 PMd53c4514-81f1-4214-8739-16137c9dbdf9
0.2;3000.0;0.8;0.295;t,t;75.5661;0.098;79.358;35.4331;reports/run_1/Feb 19, 2016 2:59:25 AMf6a66359-a6e2-42f5-9ad3-c1cc80348292
0.2;500.0;0.5;0.2932;a,a;75.5661;0.1011;78.8744;36.574;reports/run_1/Feb 18, 2016 1:38:07 AMbceae10e-0fa8-4447-8595-dc4ef2d5e640
0.5;1000.0;0.2;0.2961;a;75.5661;0.1017;79.6448;36.7957;reports/run_1/Feb 17, 2016 6:09:17 PMffeaa0e7-b3ae-4798-9da2-90d821535774
0.2;1000.0;0.5;0.294;t,a;75.5661;0.0988;79.0865;35.7359;reports/run_1/Feb 18, 2016 7:18:48 AM7a262848-6e36-48d8-b916-ff7c7d630865
0.8;3000.0;0.2;0.2971;a,a;75.5661;0.1015;79.9277;36.7157;reports/run_1/Feb 18, 2016 1:15:46 AM49f7d518-c090-4539-8df8-661d00299ab8
0.5;2000.0;0.8;0.3003;a;75.5661;0.1017;80.7826;36.7892;reports/run_1/Feb 17, 2016 7:36:04 PMd8303cb7-c518-40dc-b345-9ae3ec0b26df
0.2;3000.0;0.8;0.2995;a,t;75.6187;0.0998;80.5621;36.1007;reports/run_1/Feb 18, 2016 5:04:14 PM1a6ab373-9159-46e9-8d10-bbe354680d28
0.1;2000.0;0.2;0.3008;a,a;75.6187;0.0998;80.9228;36.0884;reports/run_1/Feb 18, 2016 12:05:48 AMd73d1e9c-1baa-4fb3-a0c5-c2dfce85220c
0.1;500.0;0.2;0.2937;a,t;75.6714;0.0987;79.0045;35.6865;reports/run_1/Feb 18, 2016 11:30:18 AMcd3d96c1-9db7-4ffd-9205-d9b226e2fd2c
0.1;1000.0;0.5;0.3011;a,a;75.6714;0.1004;80.9902;36.3261;reports/run_1/Feb 18, 2016 1:22:33 AM56b44c97-b07b-456c-bb10-a25808fc5c4e
0.5;3000.0;0.8;0.2974;a;75.6714;0.1;80.0026;36.1635;reports/run_1/Feb 17, 2016 7:37:34 PM32ef0828-336b-422f-b35a-705cd0348ab7
0.8;2000.0;0.5;0.3003;t;75.6714;0.1006;80.7754;36.4023;reports/run_1/Feb 17, 2016 10:19:52 PM70e3dc8b-52f8-48ca-8186-0056add6c271
0.8;500.0;0.2;0.2907;t;75.6714;0.1004;78.2002;36.3204;reports/run_1/Feb 17, 2016 8:37:05 PM735e2c2f-76bf-4d19-8060-fe1244d13143
0.2;2000.0;0.2;0.2907;a;75.7241;0.1013;78.19;36.6383;reports/run_1/Feb 17, 2016 6:03:03 PM8f6c72d4-7188-4c2b-9b6a-672ab5058cf0
0.1;500.0;0.8;0.2938;a,t;75.7241;0.1018;79.0432;36.8297;reports/run_1/Feb 18, 2016 4:21:23 PM7df8c971-7637-4323-9296-8ebb0c7f2683
0.1;2000.0;0.5;0.2933;a;75.7241;0.1023;78.9154;36.9946;reports/run_1/Feb 17, 2016 6:36:38 PMa21df243-eb7d-4d04-ba32-2d23d67028a4
0.1;2000.0;0.8;0.2927;t,t;75.7767;0.098;78.7457;35.4304;reports/run_1/Feb 19, 2016 2:00:05 AMdb8bfefe-e3d0-4466-8ab9-2be4d57e8ba4
0.1;1000.0;0.2;0.2989;t,t;75.7767;0.0999;80.3988;36.1466;reports/run_1/Feb 18, 2016 6:25:26 PM5d477f08-d123-4509-8a37-107d70421e51
0.1;2000.0;0.8;0.2933;t,a;75.7767;0.0982;78.9002;35.5016;reports/run_1/Feb 18, 2016 9:27:08 AMbc870b10-2764-4d3d-b291-1a06f720dc96
0.1;3000.0;0.8;0.295;t,a;75.7767;0.0984;79.3631;35.5885;reports/run_1/Feb 18, 2016 9:33:00 AMb7f2b7fb-3a26-4cdc-bc10-acdd70c2e971
0.5;500.0;0.5;0.2934;t,t;75.7767;0.1004;78.9403;36.3178;reports/run_1/Feb 18, 2016 11:10:33 PM05c82266-0a23-475e-9de6-9c3cfc194a10
0.2;3000.0;0.2;0.2973;a,t;75.8294;0.0984;79.99;35.5852;reports/run_1/Feb 18, 2016 12:36:55 PM8207e7b8-c791-4a81-971c-f0ec1b3a51bc
0.1;3000.0;0.5;0.2989;a,a;75.8294;0.0988;80.3966;35.7178;reports/run_1/Feb 18, 2016 1:35:54 AMa6920500-969a-4ced-bfa9-76ad2a4451af
0.1;1000.0;0.8;0.2875;t;75.8294;0.0996;77.353;36.0369;reports/run_1/Feb 17, 2016 10:40:48 PM233ca757-aeb6-4ecf-a8f7-b436cc4bb49d
0.2;3000.0;0.2;0.2924;a;75.882;0.1007;78.6575;36.4333;reports/run_1/Feb 17, 2016 6:03:03 PM1a500eab-2392-4d0f-b7cf-e1246f499c9e
0.2;500.0;0.8;0.292;t,t;75.882;0.101;78.545;36.5462;reports/run_1/Feb 19, 2016 2:19:29 AM403ff3b3-51cb-42ea-8885-97c8bf1c3bde
0.2;2000.0;0.2;0.2886;t;75.9347;0.1011;77.6246;36.5754;reports/run_1/Feb 17, 2016 8:14:59 PM7c2f92e5-274c-42e0-a697-10b7e8c24a86
0.5;3000.0;0.2;0.2943;a,t;75.9347;0.0983;79.1786;35.5401;reports/run_1/Feb 18, 2016 1:25:47 PMb3b0415f-4f75-4f1c-a133-6abade869afc
0.5;500.0;0.2;0.289;t,t;75.9347;0.0982;77.7415;35.5313;reports/run_1/Feb 18, 2016 7:48:52 PMfd125ff4-732f-4420-a4b9-d2fd61cf001d
0.1;3000.0;0.5;0.2929;a;75.9874;0.1028;78.7929;37.1747;reports/run_1/Feb 17, 2016 6:39:26 PMe048b796-b2e3-4fd9-996c-0d248bbe36dd
0.1;500.0;0.8;0.2881;a,a;75.9874;0.099;77.5124;35.8098;reports/run_1/Feb 18, 2016 2:44:34 AM221db57c-4773-4969-9f1c-5e9a4d6f46bb
0.2;3000.0;0.5;0.2914;t,t;75.9874;0.0956;78.3777;34.5871;reports/run_1/Feb 18, 2016 11:07:11 PMb28020fb-284f-42ce-92ca-af6824241274
0.1;500.0;0.2;0.2756;a;75.9874;0.1023;74.142;37.0032;reports/run_1/Feb 17, 2016 6:03:03 PM8acb8a8f-d061-4e1e-9d1e-167383959d7d
0.2;3000.0;0.5;0.293;t,a;75.9874;0.0975;78.8121;35.2535;reports/run_1/Feb 18, 2016 7:43:23 AM9abf2918-74b9-4d06-824e-8912d4126f5c
0.5;1000.0;0.5;0.2927;t,a;75.9874;0.101;78.7488;36.5179;reports/run_1/Feb 18, 2016 8:01:43 AM133017a6-3d5a-44e1-be21-4fcba22105d9
0.5;3000.0;0.2;0.2912;t,t;76.04;0.0964;78.3482;34.8727;reports/run_1/Feb 18, 2016 8:25:22 PM4007d2ae-6796-4234-b37f-af4594400a3c
0.2;2000.0;0.5;0.2888;t;76.04;0.1015;77.6831;36.724;reports/run_1/Feb 17, 2016 9:30:49 PM7b81b6b2-2623-4477-bda5-8fd511f20f72
0.1;500.0;0.8;0.2941;t,a;76.0927;0.1;79.1189;36.1694;reports/run_1/Feb 18, 2016 9:05:53 AM81911782-4d7b-49e3-95c4-79fd4a2fdbf6
0.8;500.0;0.2;0.2891;t,t;76.0927;0.0988;77.7824;35.7187;reports/run_1/Feb 18, 2016 8:26:28 PM25373cee-5a45-491c-860a-eaa5f4f88d52
0.8;500.0;0.5;0.284;a,t;76.0927;0.1056;76.393;38.2059;reports/run_1/Feb 18, 2016 3:58:53 PMa2c8c77a-53bb-4ea9-90c8-ee45cb40cd96
0.1;500.0;0.8;0.2917;t,t;76.0927;0.0984;78.474;35.5978;reports/run_1/Feb 19, 2016 1:47:48 AMec5da601-9a8b-4f33-8e9b-20c9be74c8ec
0.2;500.0;0.2;0.29;t,t;76.0927;0.097;78.0019;35.0681;reports/run_1/Feb 18, 2016 7:14:48 PM9691b64b-6157-4ffc-a03a-c087c12aefed
0.1;1000.0;0.2;0.297;a,a;76.0927;0.0973;79.9103;35.207;reports/run_1/Feb 18, 2016 12:03:27 AM2b889165-ff95-46f8-9b79-ea04ae348367
0.2;3000.0;0.5;0.2875;t;76.1453;0.0993;77.3394;35.9106;reports/run_1/Feb 17, 2016 9:35:30 PMb0472bb8-e094-41ae-a4a4-965ef880a254
0.2;1000.0;0.2;0.2937;a,t;76.1453;0.0979;79.0195;35.4166;reports/run_1/Feb 18, 2016 12:24:02 PM68e403d6-8baf-4d02-b180-2d02372807c1
0.1;3000.0;0.5;0.2956;t,t;76.1453;0.0973;79.5143;35.2027;reports/run_1/Feb 18, 2016 10:21:36 PMbf4b5301-fcbf-433d-8838-6184be22993c
0.2;1000.0;0.8;0.2907;t;76.1453;0.0991;78.2026;35.8494;reports/run_1/Feb 17, 2016 11:00:51 PM07e36b08-04d6-4bb4-a53a-dbf999f77fa5
0.5;1000.0;0.2;0.2872;t;76.198;0.0994;77.2482;35.94;reports/run_1/Feb 17, 2016 8:21:06 PMac9876ff-0696-4620-9bb4-06395a5387a2
0.1;3000.0;0.2;0.2941;a,t;76.2507;0.0952;79.1218;34.4448;reports/run_1/Feb 18, 2016 12:01:39 PM4105201c-df5b-4fbe-8d05-b76aa6cb8d20
0.2;1000.0;0.5;0.2864;t;76.2507;0.0995;77.0469;35.9997;reports/run_1/Feb 17, 2016 9:30:26 PM23a1ac1c-e2f7-4988-889b-a24928ae9353
0.2;2000.0;0.5;0.2955;a,t;76.2507;0.0976;79.4936;35.2831;reports/run_1/Feb 18, 2016 2:46:50 PMd02df93a-c3bf-4263-9953-47b97d2f7047
0.1;2000.0;0.2;0.2907;t,t;76.2507;0.095;78.2103;34.3748;reports/run_1/Feb 18, 2016 6:49:09 PM91ab8d3b-aa1f-4b1b-8bce-8ed17716f191
0.5;3000.0;0.5;0.2954;a,t;76.3033;0.0974;79.4657;35.2357;reports/run_1/Feb 18, 2016 3:42:39 PMf4c5a059-9325-49f4-8c87-647022321d7f
0.2;2000.0;0.2;0.2933;t,a;76.3033;0.0967;78.8979;34.9776;reports/run_1/Feb 18, 2016 4:52:59 AM61d5bcff-d5ff-4ad3-8219-56178a93b4cd
0.2;1000.0;0.5;0.2919;a,t;76.3033;0.0983;78.5129;35.5573;reports/run_1/Feb 18, 2016 2:32:10 PM16cf8928-07b9-46c4-bb03-819854396f51
0.5;3000.0;0.5;0.2919;t,t;76.356;0.0961;78.5272;34.7604;reports/run_1/Feb 19, 2016 12:11:32 AM1a92fc0d-b3f7-45de-869f-32f32dc0d23d
0.2;3000.0;0.2;0.2838;t;76.4086;0.0991;76.3562;35.8457;reports/run_1/Feb 17, 2016 8:18:17 PM2903456d-e030-4b63-975c-e87422bb53d3
0.1;1000.0;0.2;0.295;a,t;76.4086;0.0959;79.3521;34.695;reports/run_1/Feb 18, 2016 11:48:15 AM754e2478-d6c6-4b1e-8da1-8f0ca10c455e
0.1;2000.0;0.2;0.2835;a;76.4086;0.0991;76.2631;35.8415;reports/run_1/Feb 17, 2016 6:03:03 PM8836ab0f-82d4-4eac-972a-178366de29e1
0.8;1000.0;0.2;0.2894;t,t;76.4613;0.0965;77.8625;34.8966;reports/run_1/Feb 18, 2016 8:43:59 PM7dd733bd-7fba-4bbd-adbe-978306918534
0.2;500.0;0.5;0.2901;t,t;76.514;0.0976;78.048;35.3128;reports/run_1/Feb 18, 2016 10:28:00 PM5b954259-9b26-48dc-a198-f19a627e5c43
0.5;500.0;0.2;0.2871;t,a;76.514;0.0967;77.2416;34.9898;reports/run_1/Feb 18, 2016 5:00:59 AM5a0e066b-1387-4012-ab02-aec85ff7b548
0.2;2000.0;0.5;0.2899;t,a;76.514;0.0946;77.9931;34.218;reports/run_1/Feb 18, 2016 7:20:02 AMe2f65901-41e2-4c67-8446-0b4da79906f4
0.2;500.0;0.5;0.2854;t;76.514;0.1006;76.7762;36.3681;reports/run_1/Feb 17, 2016 9:18:03 PM7e58809a-533d-4f21-acb7-eaa685790c7e
0.5;3000.0;0.2;0.2871;t;76.5666;0.0981;77.2208;35.4934;reports/run_1/Feb 17, 2016 8:32:39 PM7df141b3-f21a-457e-a441-f95abedab793
0.1;2000.0;0.5;0.2907;t,t;76.5666;0.0952;78.2115;34.4476;reports/run_1/Feb 18, 2016 10:13:52 PM903b4ded-6cd1-4ef2-a114-54bf1f87b1ad
0.1;3000.0;0.2;0.2943;a,a;76.5666;0.0949;79.1688;34.329;reports/run_1/Feb 18, 2016 12:06:43 AM766fc479-98ea-4bbb-a075-fffca1ef7348
0.2;2000.0;0.2;0.2922;t,t;76.6193;0.0959;78.6127;34.7015;reports/run_1/Feb 18, 2016 7:32:48 PM00aaec60-ffc2-4928-933e-db338d809a70
0.2;1000.0;0.5;0.2862;t,t;76.6193;0.0945;76.9893;34.1708;reports/run_1/Feb 18, 2016 10:55:33 PM3dd40996-72c3-4dd5-a3c1-47953eea0fc8
0.1;3000.0;0.5;0.2929;a,t;76.6193;0.0954;78.8007;34.4965;reports/run_1/Feb 18, 2016 2:23:53 PM088b75bb-305e-4e45-836f-e71d4801ba0f
0.2;1000.0;0.2;0.2827;t;76.6719;0.099;76.0559;35.7932;reports/run_1/Feb 17, 2016 8:10:57 PMe1aa41f6-8a9d-48bc-befb-6e69cde03a53
0.1;500.0;0.5;0.2893;a,t;76.6719;0.0952;77.83;34.4219;reports/run_1/Feb 18, 2016 2:02:28 PM23e26528-2693-46cd-9cde-56bf67db86dd
0.1;1000.0;0.5;0.2921;t,a;76.6719;0.0963;78.5809;34.8337;reports/run_1/Feb 18, 2016 6:34:11 AM718e522d-0da4-4412-912e-7642fba60a28
0.5;1000.0;0.5;0.2863;t,t;76.7246;0.0942;77.0171;34.0606;reports/run_1/Feb 18, 2016 11:37:08 PM6077962b-e536-4d82-914e-3214c44b1f5d
0.2;1000.0;0.2;0.2888;t,a;76.7246;0.0956;77.6795;34.58;reports/run_1/Feb 18, 2016 4:41:17 AM62d1e755-bfb4-49a0-8585-38fc7d2e1d09
0.1;3000.0;0.8;0.2902;t;76.7246;0.0995;78.0808;35.9953;reports/run_1/Feb 17, 2016 10:45:38 PM917be053-8fa0-42dc-8910-936bb183059f
0.1;3000.0;0.2;0.2932;t,t;76.7773;0.0961;78.8761;34.755;reports/run_1/Feb 18, 2016 6:55:16 PM9a70a0f6-1edf-4d2d-b55b-ec6e912a8e0d
0.2;500.0;0.2;0.2828;a;76.7773;0.0993;76.0762;35.904;reports/run_1/Feb 17, 2016 6:03:03 PM329f84b5-2b11-471b-ae40-3b1c901de056
0.2;1000.0;0.2;0.29;t,t;76.8299;0.0949;78.0047;34.3271;reports/run_1/Feb 18, 2016 7:23:31 PM1aa61711-948e-4a77-8a7e-3e5c558dd6c6
0.2;500.0;0.2;0.279;t;76.8299;0.1003;75.0672;36.2809;reports/run_1/Feb 17, 2016 8:03:15 PM6d6b2b88-4ff9-44c9-8ef1-4372c92b9ee4
0.5;2000.0;0.5;0.2888;t;76.8299;0.0965;77.6942;34.8986;reports/run_1/Feb 17, 2016 9:53:19 PMefe1b088-3600-4e28-837e-9c92df129069
0.1;2000.0;0.2;0.2789;t;76.9352;0.0978;75.0337;35.3624;reports/run_1/Feb 17, 2016 7:55:26 PM90094eca-bc01-4802-9e41-00aa7c37e1e4
0.5;1000.0;0.2;0.2884;a,t;76.9352;0.0953;77.5821;34.4525;reports/run_1/Feb 18, 2016 1:09:29 PM7321801d-2a91-42a0-8291-4aff2c53b5e2
0.5;1000.0;0.2;0.2833;t,a;76.9879;0.0945;76.2036;34.1612;reports/run_1/Feb 18, 2016 5:01:39 AM3a3660b7-371d-4b02-8a14-1538546722d9
0.1;500.0;0.2;0.2866;a,a;77.0405;0.0949;77.0951;34.3118;reports/run_1/Feb 17, 2016 11:52:16 PM0bb9bc49-4fc2-4d77-8997-a374acdeaca4
0.1;2000.0;0.5;0.2879;t,a;77.0932;0.0931;77.4422;33.6781;reports/run_1/Feb 18, 2016 6:40:32 AM43191837-5818-425c-9c8d-5ee1902d42e1
0.5;1000.0;0.2;0.2839;t,t;77.1459;0.0937;76.3734;33.9035;reports/run_1/Feb 18, 2016 8:01:11 PM32a5986e-b8b9-48cd-bc95-42cedcc1e05c
0.1;500.0;0.2;0.2871;t,a;77.1459;0.095;77.2426;34.368;reports/run_1/Feb 18, 2016 4:10:30 AMa6705ead-43d4-41fc-a9bb-47e10e73b507
0.1;1000.0;0.5;0.2891;t,t;77.1985;0.0941;77.7591;34.0176;reports/run_1/Feb 18, 2016 9:51:49 PM7fd4e2e4-cc67-4874-a0d4-38650090370c
0.1;3000.0;0.5;0.2859;t,a;77.1985;0.0913;76.905;33.024;reports/run_1/Feb 18, 2016 6:47:40 AM189d4ee5-79ce-4da1-bad7-4938dc6d418e
0.1;2000.0;0.2;0.2922;a,t;77.2512;0.0944;78.6031;34.1327;reports/run_1/Feb 18, 2016 11:49:53 AM151ed00d-e856-402e-a0c9-a7890a53ee5d
0.1;500.0;0.2;0.2844;t,t;77.2512;0.0933;76.5162;33.7341;reports/run_1/Feb 18, 2016 6:22:13 PMbf6abe54-0477-41ef-bf8b-37bffb747ce3
0.2;500.0;0.2;0.2883;a,a;77.3038;0.0962;77.5447;34.8009;reports/run_1/Feb 18, 2016 12:20:03 AMe63dc84d-34e4-40f2-95a3-3c34d6da2cf3
0.1;1000.0;0.5;0.276;t;77.3565;0.0949;74.2452;34.3132;reports/run_1/Feb 17, 2016 9:09:55 PM476c070e-d594-428c-a6f0-0f87d2a0cfaf
0.1;500.0;0.2;0.2716;t;77.3565;0.1002;73.0577;36.2454;reports/run_1/Feb 17, 2016 7:50:49 PM753cde6a-ff10-43b2-b319-fa04f6a5ac1c
0.2;3000.0;0.2;0.2873;t,t;77.4618;0.0923;77.2788;33.3867;reports/run_1/Feb 18, 2016 7:43:49 PMdd36517f-5c35-4cc9-b547-492df0d6f667
0.1;500.0;0.8;0.2807;t;77.4618;0.0964;75.516;34.8486;reports/run_1/Feb 17, 2016 10:32:29 PMc4f2c363-7fa5-4156-8ea2-88907a194c99
0.1;2000.0;0.5;0.2875;a,t;77.4618;0.0926;77.3494;33.5013;reports/run_1/Feb 18, 2016 2:23:28 PM05414bce-1190-43c9-a79c-8eed62ea1a23
0.2;2000.0;0.8;0.2863;t,t;77.5671;0.0935;77.0061;33.8207;reports/run_1/Feb 19, 2016 2:54:31 AM2e026e72-a317-4004-801d-1f40667eaade
0.5;2000.0;0.2;0.286;t,t;77.6198;0.0935;76.9288;33.8068;reports/run_1/Feb 18, 2016 8:04:35 PM44b318d4-71e9-47fd-a91b-e00f0f992f0a
0.2;1000.0;0.8;0.2865;t,t;77.6198;0.0933;77.075;33.7434;reports/run_1/Feb 19, 2016 2:27:23 AM66cff4ed-60c1-4c44-a52b-399bc01b6293
0.1;3000.0;0.5;0.2779;t;77.6198;0.0964;74.7636;34.8487;reports/run_1/Feb 17, 2016 9:13:30 PMdc222b2c-ef71-4797-8607-38ea676eb247
0.1;1000.0;0.2;0.2763;t;77.7251;0.098;74.3188;35.4322;reports/run_1/Feb 17, 2016 7:53:47 PMc361b1ed-f3e4-43a5-b999-53e25a782292
0.1;1000.0;0.2;0.2857;t,a;77.7251;0.0926;76.8584;33.4992;reports/run_1/Feb 18, 2016 4:13:27 AMcb807c13-919a-4dbd-91ea-a50e00f274e9
0.1;1000.0;0.8;0.2825;t,t;77.8304;0.0916;76.0095;33.1316;reports/run_1/Feb 19, 2016 1:51:22 AM3ae232ad-8c67-46bb-89ed-e87d851f6502
0.1;3000.0;0.2;0.2781;t;77.8831;0.0957;74.805;34.6127;reports/run_1/Feb 17, 2016 8:00:07 PM244b3be6-6b4c-4e62-86fd-826224dfb485
0.1;3000.0;0.2;0.2824;t,a;78.0411;0.0888;75.9656;32.1325;reports/run_1/Feb 18, 2016 4:22:40 AMd66b5a01-6f74-4192-9465-07d345754467
0.1;500.0;0.5;0.2797;t,t;78.1464;0.0909;75.2508;32.8638;reports/run_1/Feb 18, 2016 9:51:32 PMbf6f78b8-96a6-4988-aa80-4e4fde01ebd3
0.1;500.0;0.5;0.2787;t,a;78.3044;0.0898;74.9763;32.4691;reports/run_1/Feb 18, 2016 6:31:58 AM09f74914-2b68-4e5d-9953-902afbda7493
