learning rate;# of epochs;momentum;Root mean squared error;hidden layers;Correctly Classified Instances;Mean absolute error;Root relative squared error;Relative absolute error;filename
0.5;1000.0;0.8;0.3108;t,a;67.4566;0.1544;83.6053;55.8514;reports/run_1/Feb 18, 2016 10:35:27 AMa39e30b1-a138-4718-a46a-46fd4e5510be
0.5;500.0;0.8;0.3489;t;67.7199;0.1307;93.8535;47.2556;reports/run_1/Feb 17, 2016 11:08:10 PMafc28f04-b541-466a-b1bc-b92330640a8d
0.5;2000.0;0.8;0.3088;a,a;67.8252;0.1441;83.0682;52.1102;reports/run_1/Feb 18, 2016 3:43:24 AM8d97d65b-d1fb-4d3d-9b82-440a570ec820
0.5;500.0;0.8;0.3113;t,a;68.0358;0.15;83.7471;54.2491;reports/run_1/Feb 18, 2016 10:13:15 AM9daf24ee-451f-4c8d-85f4-2d64976beccd
0.5;500.0;0.8;0.303;a,a;69.7209;0.1374;81.5217;49.6781;reports/run_1/Feb 18, 2016 3:24:43 AM70673ee1-d4d7-4b22-886b-7ae2930116ef
0.5;1000.0;0.8;0.3029;a,a;70.0369;0.1417;81.4864;51.2379;reports/run_1/Feb 18, 2016 3:37:29 AM169b3280-8cb8-4f05-9ea1-e42e6f4be96c
0.5;1000.0;0.8;0.3032;a,t;71.0374;0.1296;81.5688;46.8875;reports/run_1/Feb 18, 2016 5:35:22 PM08cc70c9-92d3-4c56-a97f-67edc65cf6b0
0.5;2000.0;0.8;0.2998;a,t;71.1427;0.1292;80.6486;46.7285;reports/run_1/Feb 18, 2016 5:43:48 PM0c9d73c5-8eb8-4513-a6f0-66bdcfaef9c2
0.5;3000.0;0.8;0.3018;a,t;71.3533;0.1317;81.1902;47.6501;reports/run_1/Feb 18, 2016 5:52:36 PM930b81bf-1837-456e-88d5-d4d5d99c0b2d
0.5;3000.0;0.8;0.2981;a,a;71.406;0.1347;80.1973;48.7308;reports/run_1/Feb 18, 2016 3:44:40 AMe226a709-ecdd-4a5f-b988-23de14ba4047
0.5;1000.0;0.8;0.3185;a;72.0379;0.1134;85.6706;41.0206;reports/run_1/Feb 17, 2016 7:34:04 PM98e8ff67-4be9-4437-bcd1-6c38509f90de
0.8;500.0;0.5;0.2985;t,t;72.6698;0.1161;80.2937;42.0064;reports/run_1/Feb 19, 2016 12:30:08 AM4cc0b382-e625-4ee3-9edb-7f2548b44ff3
0.2;3000.0;0.8;0.3151;a,a;72.9331;0.1093;84.7559;39.5222;reports/run_1/Feb 18, 2016 3:19:15 AM40caafe5-1b58-459b-aeaa-b71575e483b9
0.8;2000.0;0.5;0.3039;a,t;73.2491;0.1125;81.757;40.6855;reports/run_1/Feb 18, 2016 4:04:54 PM54152574-1e59-4b97-b512-68b7683271e4
0.8;3000.0;0.5;0.3021;t,t;73.3544;0.1133;81.2729;40.9927;reports/run_1/Feb 19, 2016 1:13:16 AM61ad8689-e73c-4bec-895b-f74dc7fceea4
0.8;1000.0;0.5;0.304;a,t;73.5124;0.1123;81.7788;40.627;reports/run_1/Feb 18, 2016 4:04:04 PMf1d637f8-b0f8-4b13-a6d7-bc02e9434740
0.2;1000.0;0.5;0.304;a;73.565;0.1086;81.7779;39.2632;reports/run_1/Feb 17, 2016 6:41:24 PMe6498c7c-ee83-48ab-a891-5d4651bb81f4
0.5;2000.0;0.2;0.3069;t;73.565;0.1089;82.5686;39.3794;reports/run_1/Feb 17, 2016 8:22:34 PMa5c2320b-0928-4ed5-aaa9-728308fc6db7
0.8;500.0;0.5;0.2925;a,a;73.565;0.1162;78.6805;42.0177;reports/run_1/Feb 18, 2016 2:18:52 AM1e32fa89-fa1a-4249-9736-af4bed32e982
0.5;2000.0;0.5;0.3106;a;73.6177;0.1076;83.5599;38.9163;reports/run_1/Feb 17, 2016 6:53:25 PMd5a060d9-cad2-40b5-a48d-ddcaf3ef172b
0.8;1000.0;0.5;0.3074;a;73.6177;0.109;82.6872;39.4226;reports/run_1/Feb 17, 2016 7:04:58 PM15040df1-e051-4ba1-b40c-7504541e6dc6
